question_id,question_text,option_a,option_b,option_c,option_d,nep_pillar,level_mapping
Q1,"When two students learn at very different speeds, what do you usually do?","Continue teaching at the same pace for everyone","Give extra homework to the slower learner","Provide varied support so both can progress","Ask the faster learner to help the slower one","Each Child is Unique","A:L3,B:L3,C:L1,D:L2"
Q2,"How do you understand a child's strengths or interests?","By looking at test scores","By observing classroom behaviour and interactions","By asking parents during PTMs","I don't specifically track strengths or interests","Each Child is Unique","A:L3,B:L1,C:L2,D:L3"
Q3,"How do you ensure shy students participate?","Call them out randomly so they answer","Pair them with confident students","Create low-pressure activities where everyone contributes","Let them stay quiet—they will talk when ready","Each Child is Unique","A:L3,B:L2,C:L1,D:L3"
Q4,"Before starting a new chapter, how do you check learning levels?","I don't—everyone starts fresh","By giving a quick informal check (questions/activity)","By checking the previous exam scores","By asking students if they already know the topic","Diagnosing Learning Levels","A:L3,B:L1,C:L2,D:L2"
Q5,"When a child performs poorly, how do you find the cause?","Assume the child didn't study","Re-check the question paper","Use small diagnostic tasks to find exact gaps","Talk to the parent first","Diagnosing Learning Levels","A:L3,B:L2,C:L1,D:L2"
Q6,"How often do you assess progress during teaching?","Only during exams","Only when I feel students are slow","Weekly informal checks","Daily quick checks (exit slips, oral checks, tasks)","Diagnosing Learning Levels","A:L3,B:L2,C:L1,D:L1"
Q7,"What guides your lesson planning the most?","Completing the chapter on time","Ensuring students remember key facts","Building specific competencies/skills","Following what other teachers do","Competency-Based Learning","A:L3,B:L2,C:L1,D:L3"
Q8,"How do you check if students can apply their learning?","By asking them to memorise definitions","By giving tasks that require real-life application","By giving more fill-in-the-blanks","By checking notebook completeness","Competency-Based Learning","A:L3,B:L1,C:L2,D:L3"
Q9,"Which activity do you prefer to build competencies?","Only textbook questions","Worksheets focused on recall","Real-life problem-solving tasks","Dictation and repetition","Competency-Based Learning","A:L3,B:L2,C:L1,D:L3"
Q10,"When did you last try a new teaching method or tool?","I rarely try new methods","Within the last year","Within the last few months","This week or last week","Teacher Upskilling","A:L3,B:L2,C:L1,D:L1"
Q11,"How do you view feedback on your teaching?","It is uncomfortable","It is acceptable but not necessary","It helps me improve","I actively seek it","Teacher Upskilling","A:L3,B:L2,C:L1,D:L1"
Q12,"How do you stay updated about best practices?","I don't actively update myself","I follow what senior teachers do","I attend trainings when assigned","I proactively learn from courses, reading, or peers","Teacher Upskilling","A:L3,B:L2,C:L2,D:L1"
Q13,"How often do you communicate learning progress to parents (not just marks)?","Only during PTMs","Once every few months","Monthly updates","Regular short updates (weekly/fortnightly)","Parent-Teacher Collaboration","A:L3,B:L2,C:L1,D:L1"
Q14,"What do you usually discuss with parents?","Only if child is misbehaving","Mostly marks and homework","Strengths and areas for improvement","Specific strategies to support learning at home","Parent-Teacher Collaboration","A:L3,B:L2,C:L1,D:L1"
Q15,"How do you involve parents in the child's learning?","I don't involve them much","Ask them to ensure homework is done","Share simple activities to do at home","Work with them as partners, discussing progress and strategies","Parent-Teacher Collaboration","A:L3,B:L2,C:L1,D:L1"
