questionId,questionText,goal,description,opt0_text,opt0_fp,opt1_text,opt1_fp,opt2_text,opt2_fp,opt3_text,opt3_fp
69679a7210507c4854ea7e0f,"When a class shows uneven learning progress, what is your first response as a school leader?",Learning Progress Monitoring,,Ask teachers to continue as planned so most students stay on track,,Ask teachers to identify specific students who need different support,,Review overall class performance trends,,Discuss strategies collectively in the staff meeting,
69679a7210507c4854ea7e10,"When you visit a classroom, what makes you feel that learning is happening well?",Classroom Observation,,Students are attentive and engaged in activities,,The teacher is explaining concepts clearly,,Students are asking questions and trying different approaches,,Students are able to answer assessment questions correctly,
69679a7210507c4854ea7e11,"When a teacher’s lesson does not go as expected, what do you usually do first?",Teacher Support,,Ask the teacher to reflect on what worked and what did not,,Suggest using a different activity next time,,Check student assessment results,,Discuss the issue with other teachers,
69679a7210507c4854ea7e12,"When reviewing student assessment data, what do you focus on first?",Data Analysis,,Overall class average,,Common misconceptions across students,,Individual students who are struggling,,Sharing findings with teachers for planning,
69679a7210507c4854ea7e13,"When planning improvement efforts in the school, who do you involve early?",School Improvement,,Senior teachers,,Parents and caregivers,,Focus on internal planning first,,Use assessment data to guide decisions,
69679a7210507c4854ea7e14,"When reviewing classroom observations, which pattern concerns you the most?",Student Engagement,,Students finishing work at different times,,Students asking many questions during the lesson,,Students working quietly but showing little initiative,,Students discussing answers with peers,
69679a7210507c4854ea7e15,How do you usually understand students’ varied learning preferences?,Understanding Learners,,Through professional conversation with teachers,,From student classroom behaviour,,From assessment results,,From parent feedback about learning at home,
69679a7210507c4854ea7e16,"When walking into a classroom, what do you naturally look at first?",Classroom Observation,,Whether students are attentive,,Whether the teacher is following the plan,,Whether different students are engaged in different ways,,Whether the class is quiet and orderly,
69679a7210507c4854ea7e17,"If multiple classes struggle with a topic, what is your typical next step?",Instructional Review,,Check whether the chapters were completed,,Compare performance data across classes,,Discuss with teachers how students approached the topic,,Ask teachers to schedule additional revision of the same content,
69679a7210507c4854ea7e18,"When looking at learning data, which trend do you investigate first?",Learning Data Analysis,,Number of students who scored below 40%,,Variation between question types,,Comparisons between sections of the same grade,,Shifts in performance of specific students over time,
69679a7210507c4854ea7e19,"During a class observation, if students complete a task very quickly, you generally think:",Task Rigor,,The task was easy and appropriate,,The teacher’s explanation was very clear,,The task may not have challenged all learners,,Students must have memorised similar questions,
69679a7210507c4854ea7e1a,"When reviewing lesson plans, which aspect do you notice most?",Lesson Planning,,Whether the content matches the textbook,,Whether the activities are manageable within the period,,Whether the intended outcomes are measurable,,Whether instructions are clear for the teacher to follow,
69679a7210507c4854ea7e1b,A teacher asks for support in improving student understanding. Your first question is usually:,Teacher Coaching,,Which part of the syllabus is pending?,,What tasks did students struggle with?,,How did students respond during the lesson?,,Which worksheets have been completed so far?,
69679a7210507c4854ea7e1c,"When teachers prepare activities, what is your main consideration?",Activity Design,,Whether the activity is manageable for all classes within time,,Whether the activity matches the exam format,,Whether students must think in different ways during the activity,,Whether the activity is co-planned or shareable,
69679a7210507c4854ea7e1d,"When you see a teacher using an unfamiliar method, what do you usually do?",Innovation in Teaching,,Check whether class control is maintained,,Observe student reactions closely,,Ask the teacher to explain the thinking behind it later,,Remind them to stay aligned with the yearly plan,
69679a7210507c4854ea7e1e,"When a teacher struggles repeatedly with a concept, your instinctive response is:",Teacher Development,,Ask another teacher to share materials,,Suggest attending an upcoming workshop,,Sit together to understand the root difficulty,,Recommend revising the chapter again,
69679a7210507c4854ea7e1f,"During staff meetings, what do you tend to highlight the most?",Team Leadership,,Completion of planned activities,,Instances of effective teamwork,,Student progress trends,,Challenges teachers are facing,
69679a7210507c4854ea7e20,"When planning parent interactions, what is your priority?",Parent Engagement,,Ensuring logistical arrangements are smooth,,Updating parents about academic schedules,,Helping parents understand how learning happens,,Addressing specific concerns raised by parents,
69679a7210507c4854ea7e21,"When parents ask about their child’s progress, you usually talk about:",Parent Communication,,Attendance and day-to-day behaviour,,Upcoming school activities,,How the child learns and participates,,Marks and test performance,
69679a7210507c4854ea7e22,"When designing the school communication plan, you focus on:",School Communication,,Frequency of communication,,Ensuring messages are clear and short,,Helping parents support learning at home,,Making sure all notices reach parents,
