questionId,questionText,goal,description,opt0_text,opt0_fp,opt1_text,opt1_fp,opt2_text,opt2_fp,opt3_text,opt3_fp
696da37b4c57e82e236437ed,"विद्यार्थ्यांना एखादा विषय समजत नसेल, तर तुम्ही सहसा सर्वप्रथम काय विचार करता?",अध्ययन स्तरांचे निदान,,मला हा विषय अधिक स्पष्टपणे समजावून सांगण्याची गरज आहे,,कोणते विद्यार्थी अडचणीत आहेत आणि त्यामागचे कारण काय आहे,,किती विद्यार्थ्यांनी योग्य उत्तर दिले आहे,,कोणता उपक्रम त्यांना विषय समजून घेण्यास मदत करू शकतो,
696da37b4c57e82e236437ee,"एखादा धडा अपेक्षेप्रमाणे यशस्वी झाला नाही, तर तुम्ही बहुधा काय करता?",शिक्षक कौशल्यवृद्धी,,पुढील वेळी काय बदल करता येईल यावर विचार करता,,याबाबत दुसऱ्या शिक्षकांशी चर्चा करता,,ठरलेल्या योजनेप्रमाणे पुढे जात राहता,,नेमके काय चुकले हे समजून घेण्यासाठी विद्यार्थ्यांचे काम तपासता,
696da37b4c57e82e236437ef,"जेव्हा दोन विद्यार्थी विविध गतीने शिकतात, तेव्हा सामान्यतः तुम्ही काय करता?",प्रत्येक मूल वेगळे आहे,,सर्वांसाठी समान चालीने शिकविणे सुरू ठेवतो.,,मंदगती अध्ययनार्थिला अधिकचे गृहकार्य देतो.,,दोघेही प्रगती करू शकतील असा विविधांगी आधार देतो/ मदत करतो.,,मंद गतीने शिकणाऱ्या विद्यार्थ्याची मदत जलद गतीने शिकणाऱ्या विद्यार्थ्याला करायला सांगतो.,
696da37b4c57e82e236437f0,"विद्यार्थ्यांची शक्तिस्थाने, आवड किंवा कल तुम्हाला कसे कळते?",प्रत्येक मूल वेगळे आहे,,चाचणीच्या गुणांकन निकालाच्या माध्यमातून.,,वर्गातील वर्तणूक व आंतरक्रिया यांच्या निरीक्षणांच्या माध्यमातून.,,पालक - शिक्षक सभांमध्ये पालकांना विचारून.,,"शक्तिस्थाने, आवड किंवा कल मी विशेषत्वाने तपासात नाही.",
696da37b4c57e82e236437f1,लाजाळू विद्यार्थ्यांच्या सहभागाची तुम्ही कशी खात्री करता?,प्रत्येक मूल वेगळे आहे,,उत्तर देण्यासाठी यादृच्छिकपणे त्यांना बोलावून.,,धिट विद्यार्थ्यासोबत जोडी लावून.,,प्रत्येक विद्यार्थी सहभागी होऊ शकेल अशा हलक्या - फुलक्या कृतीं मधून.,,सध्या त्यांना शांत राहू द्या - त्यांची तयारी झाल्यावर ते बोलतील.,
696da37b4c57e82e236437f2,नवीन पाठ सुरू करण्यापूर्वी विद्यार्थ्यांची अध्ययन पातळी (अध्ययन स्तर) तुम्ही कशी तपासता?,अध्ययन स्तरांचे निदान,,मी तपासात नाही - प्रत्येक जण नव्याने सुरुवात करतो.,,पटकन एखादा अनौपचारिक प्रश्न किंवा कृती देऊन.,,आधीच्या परीक्षेतील प्राप्तांक/ गुण तपासून.,,विद्यार्थ्याला आधीच विषय माहित असेल तर तसे विचारून.,
696da37b4c57e82e236437f3,"जेव्हा विद्यार्थी चांगले काम करत नाही, तेव्हा त्यामागील कारणे तुम्ही कसे शोधता?",अध्ययन स्तरांचे निदान,,विद्यार्थ्याने अभ्यास केलेला नसेल असे गृहीत धरून.,,प्रश्नपत्रिका पुन्हा तपासून.,,"नेमकी दरी शोधण्यासाठी छोटे नैदानिक काम, प्रश्न, कृती वापरून.",,आधी पालकांसोबत बोलून.,
696da37b4c57e82e236437f4,अध्यापनाच्या दरम्यान अनेक वेळा आपण कशाप्रकारे प्रगतीचे मूल्यांकन करता?,अध्ययन स्तरांचे निदान,,फक्त परीक्षेच्या वेळी.,,"फक्त तेव्हा, जेव्हा विद्यार्थ्यांची गती मंदावलेली जाणवते.",,आठवड्यातून एक वेळ अनौपचारिक तपासणी.,,"दररोज जलद तपासणी ( धावता आढावा, तोंडी किंवा कृती द्वारा, एखादे काम देऊन- तपासणी.)",
696da37b4c57e82e236437f5,तुमच्या पाठ नियोजनाला सर्वात जास्त काय मार्गदर्शक ठरते?,क्षमताधिष्टित अध्ययन,,पाठ वेळेत पूर्ण झालेला असणे.,,महत्त्वाच्या सूचक बाबी विद्यार्थ्यांच्या लक्षात आल्याची खात्री.,,विशिष्ट क्षमता/ कौशल्ये यांची प्राप्ती.,,इतर शिक्षक जे करतात त्याचे अनुसरण.,
696da37b4c57e82e236437f6,"विद्यार्थी जे शिकले त्या ज्ञानाचे ते उपयोजन करू शकतात, हे तुम्ही कसे तपासता?",क्षमताधिष्टित अध्ययन,,त्यांनी व्याख्या पाठ करण्याचे सांगून.,,दैनंदिन जीवनात उपयोग करावा लागेल असे सुनिश्चित काम देऊन.,,जास्तीत जास्त रिकाम्या जागा भरा असे स्वाध्याय देऊन.,,विषयाची वही पूर्ण केल्याचे तपासून.,
696da37b4c57e82e236437f7,क्षमता विकसनसाठी तुम्ही कोणत्या कृतीला प्राधान्य द्याल?,क्षमताधिष्टित अध्ययन,,फक्त पाठ्यपुस्तकातील प्रश्न.,,पाठांतरावर केंद्रित कार्यपत्रक / वर्कशीट.,,दैनंदिन जीवनातील समस्या निराकरण काम.,,श्रुतलेखन आणि पुनरावृत्ती.,
696da37b4c57e82e236437f8,आपण नवीन अध्यापन पद्धती किंवा तंत्रे-साहित्य कधी वापरले?,शिक्षक कौशल्यवृद्धी,,मी क्वचीतच नवी पद्धती वापरतो/ वापरते.,,मागील वर्षात.,,मागील काही महिन्यात.,,मागील आठवड्यात किंवा या आठवड्यात.,
696da37b4c57e82e236437f9,तुमच्या अध्यापनाच्या अभिप्रायाकडे तुम्ही कशा प्रकारे बघता?,शिक्षक कौशल्यवृद्धी,,ते गैरसोयीचे आहे.,,ते स्वीकारार्ह आहेत परंतु आवश्यक नाही.,,सुधारणा करण्यास ते मला मदत करतात.,,मी सक्रियतेने ते शोधतो/ शोधते.,
696da37b4c57e82e236437fa,अध्यापनाच्या उत्कृष्ट पद्धतींच्या वापराबाबत तुम्ही स्वतःला कसे अद्यावत ठेवता?,शिक्षक कौशल्यवृद्धी,,मी स्वतःला सक्रियतेने अद्यावत ठेवत नाही.,,वरिष्ठ शिक्षक जे करतात तेच मी अनुसरतो /अनुसरते.,,जेव्हा पाठवल्या जाते तेव्हा मी प्रशिक्षणाला उपस्थित राहतो /राहते.,,"मी सक्रियपणे विविध अभ्यासक्रमातून, वाचनातून वा सहकाऱ्यांकडून शिकतो.",
