questionId,questionText,goal,description,opt0_text,opt0_fp,opt1_text,opt1_fp,opt2_text,opt2_fp,opt3_text,opt3_fp
696da8334c57e82e23643802,वर्ग निरीक्षणाच्या पुनरावलोकनाचे वेळी कोणती परिस्थिती तुम्हाला जास्त निदर्शनात येते ?,प्रत्येक मूल वेगळे आहे,,विद्यार्थी कोणत्याही वेळी काम पूर्ण करतात।,,पाठाचे अध्यापन सुरू असताना विद्यार्थी भरपूर प्रश्न विचारतात।,,विद्यार्थी शांतपणे काम करत असतात परंतु फार कमी पुढाकार दर्शवितात।,,विद्यार्थी सहाध्यायी विद्यार्थ्यासोबत उत्तरावर चर्चा करतात।,
696da8334c57e82e23643803,विद्यार्थ्यांच्या प्राधान्याने शिकण्याच्या तह्रा तुम्हाला सामान्यतः कशा कळतात ?,प्रत्येक मूल वेगळे आहे,,शिक्षकांसोबत झालेल्या चर्चेमधून।,,परीक्षा कामगिरीच्या कलातून।,,वर्ग भेटीमध्ये निदर्शनात आलेल्या विद्यार्थी सहभागाच्या प्रकारातून।,,सभेच्या वेळी पालकांच्या अभिप्रायावरून।,
696da8334c57e82e23643804,वर्गांमधून जाताना स्वाभाविकपणे सर्वप्रथम काय नजरेत येते ?,प्रत्येक मूल वेगळे आहे,,की विद्यार्थी सजग आहेत।,,की शिक्षक नियोजनाचा पाठपुरावा करत आहेत।,,की विविध विद्यार्थी विविध मार्गांनी गुंतलेले आहेत।,,की वर्ग शांत व शिस्तबद्ध आहे।,
696da8334c57e82e23643805,जर एखाद्या आशयाबाबत एकापेक्षा जास्त वर्ग संघर्ष करत आहेत तर तुमची नेमकी कृती काय असेल ?,अध्ययन स्तरांचे निदान,,पाठ पूर्ण झालेले आहेत का हे तपासणे।,,सर्व वर्गांच्या कामगिरीच्या डेटाची तुलना करणे।,,अशा आशयापर्यंत विद्यार्थी कसे पोहोचलेत हे शिक्षकांसोबत चर्चा करणे।,,शिक्षकांना अतिरिक्त उजळणी वर्ग लावावयास सांगणे।,
696da8334c57e82e23643806,अध्ययन डेटा बघितला तर तुमच्या तपासात सर्वप्रथम काय येते ?,अध्ययन स्तरांचे निदान,,40% पेक्षा कमी प्राप्तांक असलेली विद्यार्थी संख्या।,,प्रश्न प्रकारांमध्ये भिन्नता।,,एकाच इयत्तेतील दोन तुकड्यांमध्ये तुलना।,,विशिष्ट विद्यार्थ्यांच्या कामगिरीत कालांतराने झालेले बदल।,
696da8334c57e82e23643807,वर्ग निरीक्षणाचे वेळी जर विद्यार्थ्यांनी त्यांना नेमून दिलेले काम पटकन पूर्ण केले तर सामान्यतः तुम्ही विचार करता की.....,अध्ययन स्तरांचे निदान,,नेमून दिलेले काम सोपे आणि समर्पक होते।,,शिक्षकांचे स्पष्टीकरण खूप सुस्पष्ट होते।,,सर्वच विद्यार्थ्यांसाठी नेमून दिलेल्या कामात आव्हान नव्हते।,,विद्यार्थ्यांनी समानांतर प्रश्न नक्कीच पाठ केलेले होते।,
696da8334c57e82e23643808,पाठटाचण चे पुनरावलोकन करतेवेळी जास्त करून कोणता पैलू निदर्शनात येतो ?,क्षमताधिष्ठित अध्ययन,,की आशय पुस्तकासोबत जुळतो।,,की तासिकेमध्ये कृती नियंत्रित करता येतात।,,की उद्दिष्टानुसार अध्ययन निष्पत्ती मोजता येतात।,,की सुस्पष्ट सूचना शिक्षकांसाठी अनुसरणीय आहेत।,
696da8334c57e82e23643809,""" विद्यार्थ्यांचे आकलन वाढण्यासाठी शिक्षक मदत मागतात "", सामान्यतः तुमचा प्रश्न असतो की...",क्षमताधिष्ठित अध्ययन,,पाठ्यक्रमाचा कोणता भाग प्रलंबित आहे ?,,कोणत्या संकल्पनां सोबत किंवा नेमून दिलेल्या कामांसोबत विद्यार्थ्यांना संघर्ष करावा लागतो ?,,पाठाच्या वेळी विद्यार्थी कशाप्रकारे प्रतिसाद देतात ?,,आतापर्यंत कोणते कार्यपत्रक (वर्कशिट) पूर्ण झालेले आहे ?,
696da8334c57e82e2364380a,"शिक्षक "" कृती "" कधी तयार करतात ? तुमचा मुख्य विचार काय आहे ?",क्षमताधिष्ठित अध्ययन,,की सर्वच वर्गांसाठी कृती हाताळता येतात,,की परीक्षा पद्धती सोबत कृती जुळतात,,की कृती दरम्यान विद्यार्थी विविध मार्गांनी विचार करतातच,,की कृती संपूर्ण तासिका व्यापते,
696da8334c57e82e2364380b,"ज्यावेळी शिक्षकांना तुम्ही अपरिचित पद्धत वापरताना बघता , त्यावेळी सामान्यतः तुम्ही काय करता ?",शिक्षक कौशल्यवृध्दी,,वर्ग नियंत्रण राखले जात आहे हे तपासता,,विद्यार्थी प्रतिक्रिया निरखून बघता,,यामागील विचार स्पष्ट करायला शिक्षकांना नंतर विचारता,,वार्षिक नियोजनासोबत त्यांना समानांतर राहण्याची आठवण करून देता।,
