questionId,questionText,goal,description,opt0_text,opt1_text,opt2_text,opt3_text
6978410e6874dd0b3840a96d,You have access to simple tools or formats to understand students’ learning levels.,Access,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a96e,These tools help you clearly identify what students are struggling with.,Usability,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a96f,You get time or support to act on diagnostic insights.,Follow-through,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a970,Diagnostic insights are discussed with other teachers (meetings / peer learning circles).,Collective use,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a971,Students are informed about what they are working towards based on diagnostics.,Student clarity,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a972,You have a clear plan or pathway for your professional growth aligned to NEP.,Structure,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a973,You have safe spaces to discuss classroom challenges openly.,Safety,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a974,You have opportunities to learn from other teachers regularly.,Peer learning,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a975,You are encouraged to try new approaches without fear of evaluation.,Experimentation,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a976,Teacher growth is discussed beyond annual reviews.,Growth culture,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a977,You clearly understand what to observe beyond marks for HPC.,Understanding,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a978,HPC indicators are clearly explained and documented.,Clarity,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a979,You get time to record and reflect on HPC inputs.,Time,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97a,HPC discussions are used to guide learning conversations.,Use,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97b,Students are involved in reflecting on their own progress.,Student role,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97c,You feel supported in communicating learning progress to parents.,Communication,A4. Parent & Community Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97d,You receive clear guidance on how to engage parents meaningfully.,Guidance,A4. Parent & Community Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97e,Community interactions are facilitated by the school (not left to you alone).,Facilitation,A4. Parent & Community Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97f,Efforts to involve parents or community are recognised.,Recognition,A4. Parent & Community Support,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9a7,You have a clearly identified role or team responsible for NEP implementation.,Ownership,B1. NEP Governance & Ownership,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9a8,NEP priorities are translated into term-wise focus areas.,Translation,B1. NEP Governance & Ownership,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9a9,Responsibility for NEP implementation is shared across the school.,Distribution,B1. NEP Governance & Ownership,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9aa,You review learning diagnostic insights at leadership level.,Review,B2. Data-Informed Decision Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9ab,Academic decisions are influenced by learning trends.,Decisions,B2. Data-Informed Decision Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9ac,Teachers are supported when data suggests changes are needed.,Support,B2. Data-Informed Decision Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9ad,You have regular and purposeful teacher reflection forums.,Peer learning circles,B3. Teacher Development Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9ae,Teachers are encouraged to share challenges without fear.,Safety,B3. Teacher Development Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9af,Experimentation is protected and valued by leadership.,Experimentation,B3. Teacher Development Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9b0,"HPC is discussed as a learning narrative, not just reporting.",Purpose,B4. HPC & Reporting Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
