questionId,questionText,goal,description,opt0_text,opt0_fp,opt1_text,opt1_fp,opt2_text,opt2_fp,opt3_text,opt3_fp
696653613068ccbaadf0d343,"When students don’t understand a topic, what do you usually think first?",Diagnosing Learning Levels,,I need to explain it more clearly,,Which students are struggling and why,,How many students answered correctly,,What activity might help them grasp it,
696653613068ccbaadf0d344,"When a lesson doesn't work as expected, you are most likely to:",Teacher Upskilling,,Reflect on what you could change next time,,Discuss it with another teacher,,Stick to the plan and move ahead,,Check student work to see what went wrong,
696653613068ccbaadf0d345,"When two students learn at very different speeds, what do you usually do?",Each Child is Unique,,Continue teaching at the same pace for everyone,,Give extra homework to the slower learner,,Provide varied support so both can progress,,Ask the faster learner to help the slower one,
696653613068ccbaadf0d346,How do you understand a child’s strengths or interests?,Each Child is Unique,,By looking at test scores,,By observing classroom behaviour and interactions,,By asking parents during PTMs,,I don’t specifically track strengths or interests,
696653613068ccbaadf0d347,How do you ensure shy students participate?,Each Child is Unique,,Call them out randomly so they answer,,Pair them with confident students,,Create low-pressure activities where everyone contributes,,Let them stay quiet—they will talk when ready,
696653613068ccbaadf0d348,"Before starting a new chapter, how do you check learning levels?",Diagnosing Learning Levels,,I don’t—everyone starts fresh,,By giving a quick informal check (questions/activity),,By checking the previous exam scores,,By asking students if they already know the topic,
696653613068ccbaadf0d349,"When a child performs poorly, how do you find the cause?",Diagnosing Learning Levels,,Assume the child didn’t study,,Re-check the question paper,,Use small diagnostic tasks to find exact gaps,,Talk to the parent first,
696653613068ccbaadf0d34a,How often do you assess progress during teaching?,Diagnosing Learning Levels,,Only during exams,,Only when I feel students are slow,,Weekly informal checks,,"Daily quick checks (exit slips, oral checks, tasks)",
696653613068ccbaadf0d34b,What guides your lesson planning the most?,Competency-Based Learning,,Completing the chapter on time,,Ensuring students remember key facts,,Building specific competencies/skills,,Following what other teachers do,
696653613068ccbaadf0d34c,How do you check if students can apply their learning?,Competency-Based Learning,,By asking them to memorise definitions,,By giving tasks that require real-life application,,By giving more fill-in-the-blanks,,By checking notebook completeness,
696653613068ccbaadf0d34d,Which activity do you prefer to build competencies?,Competency-Based Learning,,Only textbook questions,,Worksheets focused on recall,,Real-life problem-solving tasks,,Dictation and repetition,
696653613068ccbaadf0d34e,When did you last try a new teaching method or tool?,Teacher Upskilling,,I rarely try new methods,,Within the last year,,Within the last few months,,This week or last week,
696653613068ccbaadf0d34f,How do you view feedback on your teaching?,Teacher Upskilling,,It is uncomfortable,,It is acceptable but not necessary,,It helps me improve,,I actively seek it,
