questionId,questionText,goal,description,opt0_text,opt0_fp,opt1_text,opt1_fp,opt2_text,opt2_fp,opt3_text,opt3_fp
696653613068ccbaadf0d343,"When students don’t understand a topic, what do you usually think first?",Diagnosing Learning Levels,,I need to explain it more clearly,,Which students are struggling and why,,How many students answered correctly,,What activity might help them grasp it,
696653613068ccbaadf0d344,"When a lesson doesn't work as expected, you are most likely to:",Teacher Upskilling,,Reflect on what you could change next time,,Discuss it with another teacher,,Stick to the plan and move ahead,,Check student work to see what went wrong,
696653613068ccbaadf0d345,"When two students learn at very different speeds, what do you usually do?",Each Child is Unique,,Continue teaching at the same pace for everyone,,Give extra homework to the slower learner,,Provide varied support so both can progress,,Ask the faster learner to help the slower one,
696653613068ccbaadf0d346,How do you understand a child’s strengths or interests?,Each Child is Unique,,By looking at test scores,,By observing classroom behaviour and interactions,,By asking parents during PTMs,,I don’t specifically track strengths or interests,
696653613068ccbaadf0d347,How do you ensure shy students participate?,Each Child is Unique,,Call them out randomly so they answer,,Pair them with confident students,,Create low-pressure activities where everyone contributes,,Let them stay quiet—they will talk when ready,
696653613068ccbaadf0d348,"Before starting a new chapter, how do you check learning levels?",Diagnosing Learning Levels,,I don’t—everyone starts fresh,,By giving a quick informal check (questions/activity),,By checking the previous exam scores,,By asking students if they already know the topic,
696653613068ccbaadf0d349,"When a child performs poorly, how do you find the cause?",Diagnosing Learning Levels,,Assume the child didn’t study,,Re-check the question paper,,Use small diagnostic tasks to find exact gaps,,Talk to the parent first,
696653613068ccbaadf0d34a,How often do you assess progress during teaching?,Diagnosing Learning Levels,,Only during exams,,Only when I feel students are slow,,Weekly informal checks,,"Daily quick checks (exit slips, oral checks, tasks)",
696653613068ccbaadf0d34b,What guides your lesson planning the most?,Competency-Based Learning,,Completing the chapter on time,,Ensuring students remember key facts,,Building specific competencies/skills,,Following what other teachers do,
696653613068ccbaadf0d34c,How do you check if students can apply their learning?,Competency-Based Learning,,By asking them to memorise definitions,,By giving tasks that require real-life application,,By giving more fill-in-the-blanks,,By checking notebook completeness,
696653613068ccbaadf0d34d,Which activity do you prefer to build competencies?,Competency-Based Learning,,Only textbook questions,,Worksheets focused on recall,,Real-life problem-solving tasks,,Dictation and repetition,
696653613068ccbaadf0d34e,When did you last try a new teaching method or tool?,Teacher Upskilling,,I rarely try new methods,,Within the last year,,Within the last few months,,This week or last week,
696653613068ccbaadf0d34f,How do you view feedback on your teaching?,Teacher Upskilling,,It is uncomfortable,,It is acceptable but not necessary,,It helps me improve,,I actively seek it,
696653613068ccbaadf0d350,How do you stay updated about best practices?,Teacher Upskilling,,I don’t actively update myself,,I follow what senior teachers do,,I attend trainings when assigned,,"I proactively learn from courses, reading, or peers",
696653613068ccbaadf0d351,How often do you communicate learning progress to parents (not just marks)?,Parent–Teacher Collaboration,,Only during PTMs,,Once every few months,,Monthly updates,,Regular short updates (weekly/fortnightly),
696653613068ccbaadf0d352,What do you usually discuss with parents?,Parent–Teacher Collaboration,,Only if child is misbehaving,,Mostly marks and homework,,Strengths and areas for improvement,,Specific strategies to support learning at home,
696653613068ccbaadf0d353,How do you involve parents in the child’s learning?,Parent–Teacher Collaboration,,I don't involve them much,,Ask them to ensure homework is done,,Share simple activities to do at home,,"Work with them as partners, discussing progress and strategies",
696653613068ccbaadf0d354,A student consistently makes the same mistake in Maths despite your explanations. What do you MOST likely do next?,Diagnosing Learning Levels,,"Repeat the explanation one more time, but more clearly",,Ask the child to practice more questions of the same type,,Give a small task to check exactly where the misconception is happening,,Tell the parent the child needs more practice at home,
696653613068ccbaadf0d355,Which statement do you agree with the MOST?,Each Child is Unique,,Some children are naturally better at learning than others,,"Every child can learn, but some may need different types of support",,"If students work hard, all students can reach the same level",,Children who score well usually have higher ability,
696653613068ccbaadf0d356,"Your class has finished a chapter, but many students can’t apply the concept to real-life problems. What do you do?",Competency-Based Learning,,Move ahead because syllabus completion is important,,Give more revision worksheets for the same chapter,,Pause and give new activities that involve using the concept in real situations,,Ask students to memorise key points so they don’t forget,
696653613068ccbaadf0d357,When was the last time you changed or experimented with a classroom strategy because you realised something wasn’t working?,Teacher Upskilling,,This week or last week,,In the last 1–2 months,,Sometime this year,,I usually stick to the strategies I already know,
696653613068ccbaadf0d358,"When parents ask what they can do to support learning at home, you MOST often:",Parent–Teacher Collaboration,,Give them 1–2 simple activities they can do with the child,,Tell them to ensure the child completes homework on time,,Say that most learning happens in school and not to worry,,Usually do not give suggestions; parents choose their own methods,
