question_id,question_text,option_a,option_b,option_c,option_d,nep_pillar,level_mapping
Q1,"When reviewing classroom observations, which pattern concerns you the most?","Students finishing work at different times","Students asking many questions during the lesson","Students working quietly but showing little initiative","Students discussing answers with peers","Each Child is Unique","A:L3,B:L2,C:L1,D:L2"
Q2,"How do you usually understand students' varied learning preferences?","Through teacher conversations","Through exam performance trends","By noticing participation patterns in class visits","From parent feedback during meetings","Each Child is Unique","A:L2,B:L3,C:L1,D:L2"
Q3,"When walking into a classroom, what do you naturally look at first?","Whether students are attentive","Whether the teacher is following the plan","Whether different students are engaged in different ways","Whether the class is quiet and orderly","Each Child is Unique","A:L3,B:L2,C:L1,D:L3"
Q4,"If multiple classes struggle with a topic, what is your typical next step?","Check whether the chapters were completed","Compare the performance data across classes","Discuss with teachers how students approached the topic","Ask teachers to schedule additional revision periods","Diagnosing Learning Levels","A:L3,B:L2,C:L1,D:L2"
Q5,"When looking at learning data, which trend do you investigate first?","Number of students who scored below 40%","Variation between question types","Comparisons between sections of the same grade","Shifts in performance of specific students over time","Diagnosing Learning Levels","A:L3,B:L2,C:L2,D:L1"
Q6,"During a class observation, if students complete a task very quickly, you generally think:","The task was easy and appropriate","The teacher's explanation was very clear","The task may not have challenged all learners","Students must have memorised similar questions","Diagnosing Learning Levels","A:L3,B:L2,C:L1,D:L2"
Q7,"When reviewing lesson plans, which aspect do you notice most?","Whether the content matches the textbook","Whether the activities are manageable within the period","Whether the intended outcomes are measurable","Whether instructions are clear for the teacher to follow","Competency-Based Learning","A:L3,B:L2,C:L1,D:L2"
Q8,"A teacher asks for support in improving student understanding. Your first question is usually:","Which part of the syllabus is pending?","What tasks did students struggle with?","How did students respond during the lesson?","Which worksheets have been completed so far?","Competency-Based Learning","A:L3,B:L2,C:L1,D:L3"
Q9,"When teachers prepare activities, what is your main consideration?","Whether the activity is manageable for all classes","Whether the activity matches the exam format","Whether students must think in different ways during the activity","Whether the activity occupies the entire period","Competency-Based Learning","A:L2,B:L3,C:L1,D:L3"
Q10,"When you see a teacher using an unfamiliar method, what do you usually do?","Check whether the class control is maintained","Observe student reactions closely","Ask the teacher to explain the thinking behind it later","Remind them to stay aligned with the yearly plan","Teacher Upskilling","A:L3,B:L2,C:L1,D:L3"
Q11,"When a teacher struggles repeatedly with a concept, your instinctive response is:","Ask another teacher to share materials","Suggest attending an upcoming workshop","Sit together to understand the root difficulty","Recommend revising the chapter again","Teacher Upskilling","A:L2,B:L2,C:L1,D:L3"
Q12,"During staff meetings, what do you tend to highlight the most?","Completion of planned activities","Instances of effective teamwork","Student progress trends","Challenges teachers are facing","Teacher Upskilling","A:L3,B:L2,C:L2,D:L1"
Q13,"When planning parent interactions, what is your priority?","Ensuring logistical arrangements are smooth","Updating parents about academic schedules","Helping parents understand how learning happens","Addressing specific concerns raised by parents","Parent-Teacher Collaboration","A:L3,B:L2,C:L1,D:L2"
Q14,"When parents ask about their child's progress, you usually talk about:","Attendance and behaviour","Upcoming school activities","How the child learns and participates","Marks and test performance","Parent-Teacher Collaboration","A:L3,B:L3,C:L1,D:L3"
Q15,"When designing the school communication plan, you focus on:","Frequency of communication","Ensuring messages are clear and short","Helping parents support learning at home","Making sure all notices reach parents","Parent-Teacher Collaboration","A:L3,B:L2,C:L1,D:L3"
